model,L1,L2,Linf,Cosine,MSE,KL,Inference_s
TensorFieldNetwork,0.47855513543095235,13.440867581197143,2.00391122511853,1.0015725611628838,0.3615082737135126,9.850115556342647,26.682809829711914
GTTensorFieldNetwork_GS,0.48211924120147154,13.373426868294104,1.84276299200969,0.9913041444656943,0.3578489734081851,10.142069166866595,27.039380073547363
GTTensorFieldNetworkV2_GS,0.49921430458623045,13.773398084355199,1.7327697408725775,1.013535008458582,0.37969223340879493,11.507050105954118,24.729846715927124
HierarchicalGTTFN,0.11051329586681431,3.2615992666526057,0.6027553747754952,0.4641317611241537,0.022159514777181918,3.3722934246435785,10.629462003707886
HierarchicalGTTFN_GS,0.0857674427225983,2.633393552209664,0.48833655338796217,0.39343274171153597,0.015150944014865952,2.2045083729135193,10.180824756622314
OnEquivariantTensorFieldNetwork,0.47717609132251043,13.393257634913825,1.9014390469316278,1.0221335743428182,0.3590573733168852,9.953547541526323,48.608227014541626
OnEquivariantTensorFieldNetwork_GS,0.48019263836685677,13.435026097742343,2.0992485554855036,1.0198758949795546,0.36144257211676384,10.61863319220003,46.98447108268738
PersNet,0.2053251550016276,5.596848744473747,0.7768296297378733,0.6604199087015201,0.06312367072603674,4.64605868253507,0.3849601745605469
PersNet_GS,0.17696921320907125,4.942589216293675,0.7764033492761214,0.6208765467211247,0.04923926987520874,4.529531658477219,0.5705029964447021
ScalarDistanceDeepSet,0.08085248610932935,2.5845080154329207,0.5226313934483187,0.37927529722065645,0.014728693818042213,2.2576724554210044,2.5375120639801025
ScalarDistanceDeepSet_GS,0.0787771652595555,2.5353667791826546,0.531956170300794,0.3405719396334487,0.014156695520736689,2.1965781053083493,2.5877480506896973
PointNetTutorial,0.08213109223263138,2.570712406056672,0.5036827306054044,0.3759471951294607,0.014353091514712943,2.4749579504658854,0.6387672424316406
PointNetTutorial_GS,0.08317203204617417,2.6199740260694924,0.5239608683160167,0.37345925677935665,0.014910662190609053,2.4400820647077315,0.5051190853118896
ScalarInputMLP,0.03691623081333975,2.226856230913144,0.5537047157608136,0.4535436286022706,0.012869760306807955,8.39364569788721,0.37164998054504395
ScalarInputMLP_GS,0.03769596752658165,2.346422116018631,0.5816322294876327,0.4656955803766339,0.013213059773844255,6.853356858943904,0.43665504455566406
MultiInputModel,0.03732922253235875,2.0287981554064185,0.4791471862158542,0.2982761072800796,0.009969388162507668,1.0807403124613773,1.1524248123168945
MultiInputModel_GS,0.03639826286902228,1.896339084267445,0.447278079157682,0.2763935234743697,0.009656163095223226,1.0122588934721706,1.1159708499908447
RaggedPersistenceModel,0.16156323148194263,4.582517612914739,0.7297940248016375,0.596451088374362,0.04395088610515548,3.9105149698305124,0.6709959506988525
RaggedPersistenceModel_GS,0.09592957251158933,2.952099825293108,0.5463230927237487,0.40594307153561543,0.0223420600518111,2.458800301139005,0.78767991065979
DistanceMatrixRaggedModel,0.08008292058802502,2.5097600641018527,0.48221863342644583,0.382027947219534,0.013984152801254975,2.4927261994589753,0.6983730792999268
DistanceMatrixRaggedModel_GS,0.08342522701467596,2.65579301721459,0.5405302818054462,0.36548919894072995,0.015225198697066572,2.58395934414139,0.8255469799041748
AttentionTensorFieldNetwork,0.08968567777298202,2.7254705170007063,0.5342645455351942,0.41732101451921216,0.01623718785170013,3.0100154524387466,4.78844428062439
AttentionTensorFieldNetwork_GS,0.0995588926602522,2.9699412475609472,0.5294183678948947,0.44028813254466403,0.01886322915354559,2.7352940193400026,4.405841827392578
CrossAttentionTensorFieldNetwork,0.08388149069430635,2.7209543660575832,0.5722595851420588,0.40679631884283807,0.016288593409458443,2.452935876004707,6.000664949417114
CrossAttentionTensorFieldNetwork_GS,0.08358188681017753,2.6930603282291488,0.5077303109559993,0.429612662618428,0.01579190774063733,2.5951257982832394,6.803268194198608
