model,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
AttentionTensorFieldNetwork,65.20%,56.80%,77.54%,68.00%,85.00%,78.67%,73.40%,49.40%,49.35%,69.42%,46.75%,70.00%,69.52%,83.41%,72.20%,44.00%,64.80%,60.60%,98.41%,93.89%,63.89%
AttentionTensorFieldNetwork_GS,61.40%,56.20%,72.83%,63.00%,87.40%,76.67%,71.40%,49.80%,51.95%,70.45%,49.35%,66.40%,64.76%,79.51%,75.12%,44.00%,62.20%,70.40%,99.68%,87.22%,53.47%
DistanceMatrixRaggedModel,72.00%,63.20%,74.28%,88.00%,92.20%,73.33%,89.60%,53.40%,51.30%,76.29%,47.40%,77.80%,91.43%,80.98%,66.34%,44.00%,65.80%,59.20%,92.70%,82.78%,58.33%
DistanceMatrixRaggedModel_GS,56.80%,62.80%,74.64%,88.00%,91.20%,80.00%,92.60%,57.00%,50.65%,78.01%,46.75%,75.60%,82.86%,80.00%,68.29%,44.00%,79.00%,58.80%,93.02%,82.78%,58.33%
GTTensorFieldNetwork,62.40%,53.00%,69.20%,64.00%,73.40%,80.00%,58.60%,56.80%,57.79%,69.07%,45.45%,62.40%,79.05%,80.98%,70.24%,44.00%,66.00%,80.40%,97.46%,90.56%,56.25%
GTTensorFieldNetworkV2,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
GTTensorFieldNetworkV2_GS,59.60%,53.00%,66.67%,65.00%,81.80%,88.00%,57.60%,54.80%,55.19%,75.95%,47.40%,60.60%,91.43%,78.05%,65.37%,44.00%,53.00%,76.60%,99.37%,90.00%,70.83%
GTTensorFieldNetwork_GS,62.20%,52.20%,70.29%,73.00%,77.80%,80.00%,59.20%,50.60%,57.79%,72.51%,50.65%,66.80%,83.81%,80.49%,70.24%,45.00%,63.60%,73.80%,99.05%,86.67%,59.72%
HierarchicalGTTFN,61.60%,50.20%,65.94%,64.00%,85.80%,76.00%,58.40%,48.00%,50.65%,65.98%,48.05%,61.40%,32.38%,77.56%,65.85%,44.00%,62.40%,74.20%,99.68%,88.33%,67.36%
HierarchicalGTTFN_GS,62.80%,47.60%,68.48%,72.00%,84.00%,74.00%,56.20%,42.00%,50.65%,61.51%,53.25%,62.80%,56.19%,75.12%,56.10%,44.00%,60.40%,79.60%,100.00%,75.00%,51.39%
HierarchicalTensorFieldNetwork,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
HierarchicalTensorFieldNetwork_GS,63.40%,47.20%,66.30%,70.00%,88.80%,69.33%,59.60%,44.00%,42.86%,63.23%,49.35%,66.00%,36.19%,75.12%,66.34%,47.00%,53.80%,44.80%,100.00%,73.89%,59.72%
MultiInputModel,69.00%,55.40%,77.17%,80.00%,89.20%,74.00%,71.40%,59.40%,49.35%,69.07%,50.65%,73.80%,85.71%,82.44%,66.83%,48.00%,77.40%,84.20%,79.68%,87.78%,77.78%
MultiInputModel_GS,68.80%,60.80%,76.09%,77.00%,89.00%,83.33%,67.40%,60.00%,51.30%,68.38%,46.10%,72.00%,84.76%,79.51%,70.73%,44.00%,74.40%,87.40%,98.10%,89.44%,76.39%
OnEquivariantTensorFieldNetwork,49.60%,57.60%,73.19%,74.00%,88.40%,75.33%,69.00%,52.40%,51.30%,72.85%,50.65%,70.20%,72.38%,82.44%,75.12%,44.00%,67.40%,73.80%,99.68%,92.22%,59.03%
OnEquivariantTensorFieldNetwork_GS,52.40%,54.80%,69.93%,65.00%,88.60%,74.00%,70.20%,48.00%,50.65%,69.42%,49.35%,72.00%,61.90%,80.98%,74.63%,47.60%,62.80%,69.80%,99.37%,87.78%,58.33%
PointNet3D,74.40%,59.80%,75.72%,72.00%,89.80%,88.67%,74.60%,55.00%,46.75%,69.76%,46.75%,74.00%,80.95%,80.00%,74.63%,44.00%,88.40%,79.80%,79.37%,76.67%,73.61%
PointNet3D_GS,49.80%,60.00%,73.19%,76.00%,91.20%,90.00%,80.40%,59.80%,45.45%,71.48%,48.70%,73.20%,81.90%,83.41%,73.66%,44.00%,86.00%,80.60%,93.65%,76.67%,77.78%
PointNetTutorial,67.80%,63.40%,72.10%,74.00%,89.60%,88.00%,73.60%,57.20%,50.00%,69.76%,52.60%,74.00%,85.71%,82.44%,65.85%,44.40%,85.80%,69.80%,98.73%,75.56%,75.69%
PointNetTutorial_GS,56.60%,59.40%,76.45%,68.00%,88.60%,82.00%,71.80%,53.20%,53.90%,71.13%,50.00%,71.60%,87.62%,80.98%,76.10%,44.20%,70.00%,79.80%,97.78%,84.44%,71.53%
RaggedPersistenceModel,34.20%,55.20%,58.33%,80.00%,91.00%,74.67%,49.40%,43.60%,18.83%,69.42%,27.27%,75.00%,75.24%,79.02%,35.12%,44.00%,74.40%,53.60%,92.38%,72.78%,61.81%
RaggedPersistenceModel_GS,34.20%,55.20%,58.33%,81.00%,90.20%,64.00%,49.40%,53.00%,18.83%,67.70%,27.27%,73.00%,74.29%,76.10%,35.12%,44.00%,71.00%,72.20%,93.33%,89.44%,54.17%
ScalarDistanceDeepSet,68.60%,52.80%,73.19%,75.00%,84.20%,86.67%,70.20%,46.60%,53.90%,72.51%,45.45%,71.80%,83.81%,77.56%,73.66%,44.00%,60.00%,85.40%,82.54%,87.78%,58.33%
ScalarDistanceDeepSet_GS,68.00%,52.40%,74.28%,71.00%,82.20%,84.67%,72.20%,43.60%,46.10%,71.82%,46.10%,72.60%,78.10%,80.49%,75.61%,50.40%,61.00%,86.60%,74.92%,88.33%,61.11%
ScalarInputMLP,54.80%,47.00%,64.49%,57.00%,70.00%,56.67%,62.40%,36.20%,53.90%,68.04%,46.10%,59.60%,63.81%,68.29%,62.44%,44.00%,65.60%,65.40%,98.41%,84.44%,46.53%
ScalarInputMLP_GS,56.20%,45.00%,62.32%,41.00%,69.00%,66.67%,59.20%,34.60%,51.95%,66.67%,45.45%,57.80%,60.95%,70.73%,65.37%,44.00%,64.60%,72.80%,99.05%,83.89%,50.69%
StochasticTensorFieldNetwork,60.20%,55.80%,63.41%,68.00%,84.80%,78.00%,71.20%,46.60%,59.74%,70.79%,46.75%,70.20%,74.29%,78.54%,69.27%,44.40%,61.80%,86.40%,99.37%,88.89%,64.58%
StochasticTensorFieldNetwork_GS,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
TensorFieldNetwork,60.20%,53.20%,67.03%,65.00%,75.80%,84.00%,61.80%,53.60%,56.49%,73.88%,49.35%,61.40%,80.95%,80.49%,67.32%,44.00%,64.00%,74.80%,97.46%,85.00%,59.72%
TensorFieldNetwork_GS,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
DTW k-NN,78.20%,55.20%,73.91%,78.00%,93.00%,66.67%,87.60%,63.40%,56.49%,74.23%,50.65%,72.60%,82.86%,82.93%,78.54%,50.20%,73.80%,75.80%,100.00%,82.78%,68.75%
Euclidean k-NN,58.40%,53.20%,68.84%,85.00%,92.80%,72.67%,96.40%,52.60%,51.95%,77.66%,51.95%,74.60%,78.10%,82.93%,76.10%,45.00%,72.40%,54.00%,100.00%,97.78%,61.11%
Gudhi (clean),64.80%,52.80%,69.20%,74.00%,85.60%,83.33%,69.80%,47.60%,55.84%,66.67%,52.60%,69.20%,73.33%,80.00%,75.12%,45.00%,70.60%,66.60%,99.37%,70.56%,56.25%
Gudhi (noise),63.20%,51.60%,67.39%,73.00%,85.80%,80.67%,71.60%,47.80%,51.30%,65.98%,53.25%,66.60%,67.62%,80.00%,74.15%,44.00%,69.40%,76.60%,97.46%,65.56%,56.25%
CrossAttentionTensorFieldNetwork,34.20%,55.20%,58.33%,64.00%,58.60%,49.33%,49.40%,51.00%,18.83%,57.04%,27.27%,59.40%,9.52%,48.78%,35.12%,44.00%,62.60%,48.80%,52.38%,50.00%,33.33%
CrossAttentionTensorFieldNetwork_GS,34.20%,55.20%,58.33%,64.00%,58.60%,49.33%,49.40%,51.00%,18.83%,57.04%,27.27%,59.40%,9.52%,48.78%,35.12%,44.00%,62.60%,48.80%,52.38%,50.00%,33.33%
