dataset,model,model_short,variant,trial,val_acc,clean_acc,noisy_acc,epochs,params,n_points,num_classes,batch_size
circles,AttentionTensorFieldNetwork,AttnTFN,baseline,0,66.0,0.66,0.65,50,558444,600,3,32
circles,AttentionTensorFieldNetwork,AttnTFN,baseline,1,66.33333333333333,0.6633333333333333,0.6366666666666667,50,558444,600,3,32
circles,AttentionTensorFieldNetwork,AttnTFN,baseline,2,100.0,1.0,0.6666666666666666,50,558444,600,3,32
circles,DistanceMatrixRaggedModel,DistanceMatrixRaggedModel,baseline,0,34.0,0.34,0.34,20,96771,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,0,100.0,1.0,0.6666666666666666,20,90244,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,1,100.0,1.0,0.6666666666666666,20,90244,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,2,100.0,1.0,0.6666666666666666,20,90244,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,baseline,0,72.0,0.72,0.71,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,baseline,1,100.0,1.0,0.68,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,baseline,2,67.0,0.67,0.67,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,consistency-lam1.0,0,100.0,1.0,0.44,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,consistency-lam1.0,1,100.0,1.0,0.44,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,cov-feat,0,100.0,1.0,0.6666666666666666,20,100869,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,cov-feat,1,100.0,1.0,0.6666666666666666,20,100869,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,denoise,0,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,denoise,1,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,dtm-filter,0,82.0,0.82,0.84,12,89091,100,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,dtm-readout,0,100.0,0.7033333333333334,0.6666666666666666,30,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,feat-pd,0,100.0,1.0,0.5533333333333333,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,feat-pd,1,100.0,1.0,0.5533333333333333,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,geom-reg,0,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,geom-reg,1,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,multiscale,0,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,multiscale,1,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug,0,69.0,0.69,0.65,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_frac0.5,0,100.0,1.0,0.6666666666666666,100,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_robust-knn,0,73.33333333333333,0.7333333333333333,0.67,20,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_robust-knn_frac1.0,1,67.0,0.67,0.67,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_robust-knn_frac1.0,2,85.0,0.85,0.73,20,89091,100,3,16
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_train-robust-knn,0,73.66666666666667,0.7366666666666667,0.6733333333333333,100,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,norm-readout,0,100.0,1.0,0.6666666666666666,15,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,0,100.0,0.6666666666666666,0.6966666666666667,20,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,1,97.66666666666667,0.74,0.3333333333333333,20,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,2,96.33333333333334,0.9633333333333334,0.34,20,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,pool-max,0,99.33333333333333,0.9933333333333333,0.3333333333333333,100,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,robust-knn,0,100.0,1.0,0.57,30,89091,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,train-dtm-readout,0,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,GTTensorFieldNetworkV2,GTTFNv2,train-dtm-readout,1,100.0,1.0,0.6666666666666666,20,88389,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,0,100.0,0.99,0.45666666666666667,20,194339,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,1,66.66666666666666,0.6666666666666666,0.49333333333333335,20,194339,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,2,99.33333333333333,0.9866666666666667,0.6666666666666666,20,194339,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,baseline,0,100.0,0.9933333333333333,0.36333333333333334,50,194339,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,baseline,1,66.66666666666666,0.6666666666666666,0.35333333333333333,50,194339,600,3,32
circles,HierarchicalTensorFieldNetwork,HierTFN,baseline,2,71.66666666666667,0.7133333333333334,0.3333333333333333,50,194339,600,3,32
circles,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,0,42.66666666666667,0.4266666666666667,0.4266666666666667,50,1177254,600,3,32
circles,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,1,66.66666666666666,0.6666666666666666,0.6666666666666666,20,1177254,600,3,32
circles,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,2,66.66666666666666,0.6666666666666666,0.6666666666666666,20,1177254,600,3,32
circles,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,0,66.0,0.66,0.6366666666666667,50,1068387,600,3,32
circles,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,1,47.0,0.47,0.45,50,1068387,600,3,32
circles,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,2,100.0,1.0,0.6666666666666666,20,1068387,600,3,32
circles,PersNet,PersNet,baseline,0,83.33333333333334,0.8333333333333334,0.74,20,141763,600,3,32
circles,PersNet,PersNet,baseline,1,87.66666666666667,0.8766666666666667,0.76,20,141763,600,3,32
circles,PersNet,PersNet,baseline,2,88.0,0.88,0.7466666666666667,20,141763,600,3,32
circles,PersNet,PersNet,denoise,0,77.33333333333333,0.7733333333333333,0.75,3,141763,600,3,32
circles,PersNet,PersNet,denoise_geom-reg_feat-pd,0,100.0,1.0,0.42333333333333334,3,141763,600,3,32
circles,PersNet,PersNet,feat-pd,0,95.66666666666667,0.9566666666666667,0.33666666666666667,3,141763,600,3,32
circles,PersNet,PersNet,geom-reg,0,69.33333333333334,0.6933333333333334,0.6733333333333333,3,141763,600,3,32
circles,PersNet,PersNet,noise-aug,0,64.66666666666666,0.6466666666666666,0.6933333333333334,20,141763,600,3,32
circles,PersNet,PersNet,noise-aug,1,64.0,0.64,0.74,20,141763,600,3,32
circles,PersNet,PersNet,noise-aug,2,62.33333333333333,0.6233333333333333,0.65,20,141763,600,3,32
circles,PointNetTutorial,PointNetTutorial,baseline,0,92.0,0.92,0.7266666666666667,100,141763,600,3,32
circles,PointNetTutorial,PointNetTutorial,baseline,1,91.33333333333333,0.9133333333333333,0.7066666666666667,100,141763,600,3,32
circles,PointNetTutorial,PointNetTutorial,baseline,2,89.66666666666666,0.8966666666666666,0.7033333333333334,100,141763,600,3,32
circles,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,0,100.0,1.0,0.6666666666666666,20,1068389,600,3,32
circles,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,1,66.66666666666666,0.6666666666666666,0.6666666666666666,20,1068389,600,3,32
circles,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,2,64.33333333333333,0.6433333333333333,0.6566666666666666,50,1068389,600,3,32
circles,RipsPointNet,RipsPointNet,baseline,0,100.0,1.0,0.36666666666666664,20,281379,600,3,32
circles,RipsPointNet,RipsPointNet,baseline,1,100.0,1.0,0.34,20,281379,600,3,32
circles,RipsPointNet,RipsPointNet,baseline,2,100.0,1.0,0.36333333333333334,20,281379,600,3,32
circles,ScalarDistanceDeepSet,ScalarDeepSet,baseline,0,33.33333333333333,0.3333333333333333,0.3333333333333333,100,75651,600,3,32
circles,ScalarDistanceDeepSet,ScalarDeepSet,baseline,1,57.99999999999999,0.58,0.59,100,75651,600,3,32
circles,ScalarDistanceDeepSet,ScalarDeepSet,baseline,2,33.33333333333333,0.3333333333333333,0.3333333333333333,100,75651,600,3,32
circles,ScalarInputMLP,ScalarMLP,baseline,0,66.66666666666666,0.6666666666666666,0.6666666666666666,100,664067,600,3,32
circles,ScalarInputMLP,ScalarMLP,baseline,1,66.66666666666666,0.6666666666666666,0.6666666666666666,100,664067,600,3,32
circles,ScalarInputMLP,ScalarMLP,baseline,2,66.66666666666666,0.6666666666666666,0.6666666666666666,100,664067,600,3,32
circles,StochasticTensorFieldNetwork,StochTFN,baseline,0,100.0,1.0,0.6666666666666666,50,41301,600,3,32
circles,StochasticTensorFieldNetwork,StochTFN,baseline,1,100.0,1.0,0.6666666666666666,50,41301,600,3,32
circles,StochasticTensorFieldNetwork,StochTFN,baseline,2,100.0,1.0,0.6666666666666666,50,41301,600,3,32
circles,TensorFieldNetwork,TFN,baseline,0,100.0,1.0,0.6666666666666666,100,89091,600,3,32
circles,TensorFieldNetwork,TFN,baseline,1,100.0,1.0,0.6666666666666666,100,89091,600,3,32
circles,TensorFieldNetwork,TFN,baseline,2,100.0,1.0,0.6666666666666666,100,89091,600,3,32
circles_noisy,AttentionTensorFieldNetwork,AttnTFN,baseline,0,66.0,0.66,0.66,50,558444,600,3,32
circles_noisy,AttentionTensorFieldNetwork,AttnTFN,baseline,1,100.0,1.0,1.0,20,558444,600,3,32
circles_noisy,AttentionTensorFieldNetwork,AttnTFN,baseline,2,68.66666666666667,0.6866666666666666,0.6866666666666666,50,558444,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,0,100.0,1.0,1.0,20,90244,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,1,99.33333333333333,0.9933333333333333,0.9933333333333333,20,90244,600,3,32
