dataset,model,model_short,variant,n_trials,val_acc_mean,val_acc_std,clean_acc_mean,clean_acc_std,noisy_acc_mean,noisy_acc_std,epochs,params,n_points,num_classes
circles,AttentionTensorFieldNetwork,AttnTFN,baseline,3,77.4444,15.9498,0.7744,0.1595,0.6511,0.0123,50,558444,600,3
circles,DistanceMatrixRaggedModel,DistanceMatrixRaggedModel,baseline,1,34.0000,0.0000,0.3400,0.0000,0.3400,0.0000,20,96771,100,3
circles,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.6667,0.0000,20,90244,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,79.6667,14.5220,0.7967,0.1452,0.6867,0.0170,20,89091,100,3
circles,GTTensorFieldNetworkV2,GTTFNv2,dtm-filter,1,82.0000,0.0000,0.8200,0.0000,0.8400,0.0000,12,89091,100,3
circles,GTTensorFieldNetworkV2,GTTFNv2,dtm-readout,1,100.0000,0.0000,0.7033,0.0000,0.6667,0.0000,30,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug,1,69.0000,0.0000,0.6900,0.0000,0.6500,0.0000,20,89091,100,3
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_frac0.5,1,100.0000,0.0000,1.0000,0.0000,0.6667,0.0000,100,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_robust-knn,1,73.3333,0.0000,0.7333,0.0000,0.6700,0.0000,20,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_robust-knn_frac1.0,2,76.0000,9.0000,0.7600,0.0900,0.7000,0.0300,20,89091,100,3
circles,GTTensorFieldNetworkV2,GTTFNv2,noise-aug_train-robust-knn,1,73.6667,0.0000,0.7367,0.0000,0.6733,0.0000,100,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,norm-readout,1,100.0000,0.0000,1.0000,0.0000,0.6667,0.0000,15,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,98.0000,1.5154,0.7900,0.1262,0.4567,0.1697,20,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,pool-max,1,99.3333,0.0000,0.9933,0.0000,0.3333,0.0000,100,89091,600,3
circles,GTTensorFieldNetworkV2,GTTFNv2,robust-knn,1,100.0000,0.0000,1.0000,0.0000,0.5700,0.0000,30,89091,600,3
circles,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,88.6667,15.5587,0.8811,0.1516,0.5389,0.0916,20,194339,600,3
circles,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,79.4444,14.6776,0.7911,0.1443,0.3500,0.0125,50,194339,600,3
circles,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,3,58.6667,11.3137,0.5867,0.1131,0.5867,0.1131,50,1177254,600,3
circles,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,71.0000,21.9241,0.7100,0.2192,0.5844,0.0959,50,1068387,600,3
circles,PointNet3D,PointNet3D,baseline,3,86.3333,2.1257,0.8633,0.0213,0.7489,0.0083,20,141763,600,3
circles,PointNet3D,PointNet3D,denoise,1,77.3333,0.0000,0.7733,0.0000,0.7500,0.0000,3,141763,600,3
circles,PointNet3D,PointNet3D,denoise_geom-reg_feat-pd,1,100.0000,0.0000,1.0000,0.0000,0.4233,0.0000,3,141763,600,3
circles,PointNet3D,PointNet3D,feat-pd,1,95.6667,0.0000,0.9567,0.0000,0.3367,0.0000,3,141763,600,3
circles,PointNet3D,PointNet3D,geom-reg,1,69.3333,0.0000,0.6933,0.0000,0.6733,0.0000,3,141763,600,3
circles,PointNet3D,PointNet3D,noise-aug,3,63.6667,0.9813,0.6367,0.0098,0.6944,0.0368,20,141763,600,3
circles,PointNetTutorial,PointNetTutorial,baseline,3,91.0000,0.9813,0.9100,0.0098,0.7122,0.0103,100,141763,600,3
circles,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,77.0000,16.2913,0.7700,0.1629,0.6633,0.0047,20,1068389,600,3
circles,RipsPointNet,RipsPointNet,baseline,3,100.0000,0.0000,1.0000,0.0000,0.3567,0.0119,20,281379,600,3
circles,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,41.5556,11.6280,0.4156,0.1163,0.4189,0.1210,100,75651,600,3
circles,ScalarInputMLP,ScalarMLP,baseline,3,66.6667,0.0000,0.6667,0.0000,0.6667,0.0000,100,664067,600,3
circles,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6667,0.0000,50,41301,600,3
circles,TensorFieldNetwork,TFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6667,0.0000,100,89091,600,3
circles_noisy,AttentionTensorFieldNetwork,AttnTFN,baseline,3,78.2222,15.4376,0.7822,0.1544,0.7822,0.1544,50,558444,600,3
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,99.5556,0.3143,0.9956,0.0031,0.9956,0.0031,20,90244,600,3
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,99.8889,0.1571,0.9989,0.0016,0.9989,0.0016,100,89091,600,3
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,78.8889,1.8122,0.7067,0.1296,0.7067,0.1296,20,89091,600,3
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,69.3333,1.8856,0.6856,0.0177,0.6889,0.0166,20,194339,600,3
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,67.6667,1.4142,0.6789,0.0173,0.6778,0.0157,50,194339,600,3
circles_noisy,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,3,88.8889,15.4784,0.8889,0.1548,0.8889,0.1548,20,1177254,600,3
circles_noisy,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,78.6667,15.2048,0.7867,0.1520,0.7867,0.1520,20,1068387,600,3
circles_noisy,PointNet3D,PointNet3D,baseline,3,80.8889,0.3143,0.8089,0.0031,0.8089,0.0031,20,141763,600,3
circles_noisy,PointNet3D,PointNet3D,noise-aug,3,67.6667,2.1257,0.6767,0.0213,0.6767,0.0213,20,141763,600,3
circles_noisy,PointNetTutorial,PointNetTutorial,baseline,3,81.2222,0.8315,0.8122,0.0083,0.8122,0.0083,50,141763,600,3
circles_noisy,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,88.6667,15.7926,0.8867,0.1579,0.8867,0.1579,50,1068389,600,3
